Concentration,Volume
500,4791790
200,3737440
100,1544730
20,510879
10,369061
0,0
100,1396660
500,6587470
500,6490480
200,4574110
100,2350190
20,772575
10,368839
0,0
100,1129350
10,487433
500,6118900
500,5013900
200,2629700
200,2216520
200,3054360
200,3270860
200,2500470
200,2590570
100,1264520
10,323454
500,6708070
20,246578
20,375602
20,483728
20,437325
10,337225
500,7461300
100,965157
100,847043
100,746971
500,5290070
200,2704430
100,1568890
20,351852
10,320266
0,0
500,2334460
200,1520110
100,985964
20,227407
0,0
10,318678
500,4838990
